[LOG] System::create                           : Header version = 2.02.15. Current version = 2.02.15.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20215 (134211), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=48000, nAvgBytesPerSec=384000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 4096 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000002A51315E2B8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/Master.strings.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/Master.assets.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/Master.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/MUSIC.assets.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/MUSIC.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/SFX.assets.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/SFX.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/UI.assets.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/UI.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/VO.assets.bank'
[ERR] RuntimeBankModel::openFile               : Failed to open file '../../../Users/angel/Downloads/puntonetaudio3/puntonetaudio11/puntonetaudio/Build/Desktop/VO.bank'
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a3fd520e-a2da-487c-b7f5-6c2f62536e31}
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {a3fd520e-a2da-487c-b7f5-6c2f62536e31}
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
